Player ID,Date,Team,Opponent,Rebounds,Predicted Rebounds (Linear Model),Predicted Rebounds (Random Forest)
aldamsa01,2023-12-19,MEM,NOP,3.0,3.5859234128443265,3.32
aldamsa01,2023-12-21,MEM,IND,3.0,6.0821245553746905,4.04
aldamsa01,2023-12-23,MEM,ATL,4.0,3.4643278092691023,3.43
aldamsa01,2023-12-26,MEM,NOP,2.0,2.5039518619411876,2.39
aldamsa01,2023-12-29,MEM,LAC,5.0,4.549910678155414,4.29
aldamsa01,2023-12-31,MEM,SAC,2.0,2.000581835727628,2.0
aldamsa01,2024-01-02,MEM,SAS,11.0,8.134385241628449,7.39
aldamsa01,2024-01-03,MEM,TOR,8.0,5.126521445081668,5.35
aldamsa01,2024-01-05,MEM,LAL,0.0,5.610481659779918,4.53
aldamsa01,2024-01-07,MEM,PHO,7.0,7.432161112763746,6.61
aldamsa01,2024-01-15,MEM,GSW,6.0,2.8583270547562507,2.69
aldamsa01,2024-01-18,MEM,MIN,5.0,5.975869162330772,6.08
aldamsa01,2024-01-20,MEM,CHI,8.0,6.993770645731566,7.21
aldamsa01,2024-01-22,MEM,TOR,4.0,4.469765411004593,4.3
aldamsa01,2024-01-26,MEM,ORL,7.0,7.4935522326418695,7.57
aldamsa01,2024-01-28,MEM,IND,6.0,4.949654434508345,4.9
aldamsa01,2024-01-29,MEM,SAC,7.0,6.937664900887952,7.06
aldamsa01,2024-02-01,MEM,CLE,9.0,7.479564424928248,7.78
aldamsa01,2024-02-02,MEM,GSW,5.0,5.964696920452762,6.41
aldamsa01,2024-02-06,MEM,NYK,4.0,6.479860653876035,6.74
aldamsa01,2024-02-08,MEM,CHI,5.0,4.9585561617036,4.9
aldamsa01,2024-02-10,MEM,CHO,6.0,4.965655411769662,5.45
aldamsa01,2024-02-12,MEM,NOP,4.0,4.476568576851032,4.78
aldamsa01,2024-02-14,MEM,HOU,5.0,5.481789039639518,5.72
aldamsa01,2024-02-15,MEM,MIL,3.0,3.4296853786333323,3.36
aldamsa01,2024-02-23,MEM,LAC,6.0,5.474743832410937,5.31
aldamsa01,2024-02-26,MEM,BRK,5.0,3.9652855464815673,4.07
aldamsa01,2024-02-28,MEM,MIN,5.0,5.485262608357957,5.13
aldamsa01,2024-03-01,MEM,POR,8.0,6.534169223439966,6.499333333333334
aldamsa01,2024-03-02,MEM,POR,8.0,6.545336054887612,5.91
aldamsa01,2024-03-04,MEM,BRK,5.0,6.597424823700026,6.55
aldamsa01,2024-03-06,MEM,PHI,4.0,6.024978495243014,5.676666666666668
aldamsa01,2024-03-08,MEM,ATL,5.0,4.962565333832943,4.94
aldamsa01,2024-03-10,MEM,OKC,6.0,4.985192171628315,5.46
aldamsa01,2024-03-12,MEM,WAS,4.0,4.487005730238406,4.76
aldamsa01,2024-03-16,MEM,OKC,6.0,6.011163289400248,5.84
aldamsa01,2024-03-18,MEM,SAC,9.0,6.508872170007586,5.91
aldamsa01,2024-03-20,MEM,GSW,9.0,7.584700308179431,7.16
aldamsa01,2024-03-22,MEM,SAS,13.0,11.062694084799146,10.88
aldamsa01,2024-03-25,MEM,DEN,9.0,9.065642279733039,9.04
aldamsa01,2024-03-27,MEM,LAL,3.0,7.9760034303502385,6.15
aldamsa01,2024-04-01,MEM,DET,3.0,5.778159747788774,4.75
alexani01,2023-10-25,MIN,TOR,4.0,2.5651010507197314,3.22
alexani01,2023-10-28,MIN,MIA,3.0,1.5425160194346983,2.44
alexani01,2023-10-30,MIN,ATL,0.0,2.092724968506519,1.25
alexani01,2023-11-01,MIN,DEN,0.0,1.5707202406577472,2.3
alexani01,2023-11-04,MIN,UTA,3.0,1.4161327471200214,1.36
alexani01,2023-11-06,MIN,BOS,1.0,0.5371613968675998,0.51
alexani01,2023-11-08,MIN,NOP,4.0,3.607195337086621,3.56
alexani01,2023-11-10,MIN,SAS,3.0,1.9848590056062367,2.33
alexani01,2023-11-12,MIN,GSW,2.0,2.9934742140269703,3.63
alexani01,2023-11-14,MIN,GSW,0.0,1.4749756484090053,2.13
alexani01,2023-11-15,MIN,PHO,0.0,0.9375188277520378,1.28
alexani01,2023-11-18,MIN,NOP,1.0,0.4807258321726619,0.51
alexani01,2023-11-20,MIN,NYK,3.0,1.532704429312209,2.06
alexani01,2023-11-22,MIN,PHI,6.0,3.624811512243389,3.44
alexani01,2023-11-24,MIN,SAC,1.0,2.1441890841345925,2.77
alexani01,2023-11-26,MIN,MEM,1.0,3.620633278664321,5.45
alexani01,2023-11-28,MIN,OKC,2.0,1.4743953700864978,1.62
alexani01,2023-11-30,MIN,UTA,5.0,3.061220050110358,3.53
alexani01,2023-12-02,MIN,CHO,2.0,2.073724757734746,1.96
alexani01,2023-12-06,MIN,SAS,2.0,3.570191986219945,3.48
alexani01,2023-12-08,MIN,MEM,2.0,2.006452227002469,2.04
alexani01,2023-12-11,MIN,NOP,1.0,1.4911579964675923,1.19
alexani01,2023-12-14,MIN,DAL,1.0,1.4765834257564219,1.636666666666667
alexani01,2023-12-16,MIN,IND,2.0,1.4660017624900783,1.1
alexani01,2023-12-18,MIN,MIA,1.0,1.0169398567456922,1.0
alexani01,2023-12-20,MIN,PHI,2.0,2.039872557503233,2.07
alexani01,2023-12-21,MIN,LAL,1.0,1.0169398567456922,1.0
alexani01,2023-12-23,MIN,SAC,0.0,1.0035712494960891,0.99
alexani01,2023-12-26,MIN,OKC,1.0,0.9967167590286173,0.9999999999999999
alexani01,2023-12-28,MIN,DAL,0.0,-0.02912004752835784,0.0
alexani01,2023-12-30,MIN,LAL,2.0,1.5138066834616335,1.2445
alexani01,2024-01-01,MIN,NYK,0.0,0.04283636541112967,0.0
alexani01,2024-01-03,MIN,NOP,0.0,1.0459080665386167,0.5666666666666667
alexani01,2024-01-05,MIN,HOU,3.0,1.5682138124191314,1.83
alexani01,2024-01-07,MIN,DAL,1.0,0.5275448848055448,0.98
alexani01,2024-01-09,MIN,ORL,2.0,2.565192360781659,2.23
alexani01,2024-01-10,MIN,BOS,4.0,2.538804131300393,3.02
alexani01,2024-01-12,MIN,POR,2.0,2.043136158612384,1.98
alexani01,2024-01-14,MIN,LAC,0.0,2.0129339267370336,1.7
alexani01,2024-01-17,MIN,DET,0.0,0.9336665930141026,1.32
